Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-01-01,The Souled Store,Venture - Series Unknown,3000000.0,2018,2016,Mumbai,Lifestyle
2018-01-01,UClean,Seed,40000000.0,2018,2016,India,Energy
2018-01-02,Foyr,Series A,4200000.0,2018,2016,Pune,Real Estate
2018-01-04,Scapic,Seed,500000.0,2018,2016,Bangalore,Technology
2018-01-05,Fusion Microfinance,Series E,-2147483648.0,2018,2016,New Delhi,Finance
2018-01-06,OYO,Series E,100000000.0,2018,2016,Gurgaon,Hospitality
2018-01-06,Arogya MedTech,Seed,15000000.0,2018,2016,Kolkata,Automotive
2018-01-06,Satin Creditcare Network Limited (SCNL),Seed,30000000.0,2018,2016,New Delhi,Finance
2018-01-08,Doxper,Seed,72000000.0,2018,2016,Mumbai,Automotive
2018-01-09,ShareChat,Series C,99230000.0,2018,2016,Bangalore,Media/Entertainment
2018-01-10,Verzeo,Series A,5000000.0,2018,2016,Bangalore,Education
2018-01-13,SlicePay,Series A,14900000.0,2018,2016,Bangalore,FinTech
2018-01-13,Credy,Seed,1400000.0,2018,2016,Bangalore,FinTech
2018-01-16,Aye Finance,Seed,72000000.0,2018,2016,Gurgaon,Finance
2018-01-16,Avail Finance,Series A,17200000.0,2018,2016,Bangalore,FinTech
2018-01-16,HyperXchange,Series A,1000000.0,2018,2016,Pune,E-Commerce
2018-01-16,Hashtag Loyalty Private Limited,Seed,5800000.0,2018,2016,Mumbai,Consumer Services
2018-01-16,Hippo Video,Seed,5800000.0,2018,2016,Chennai,Media/Entertainment
2018-01-16,Shop101,Series B,11000000.0,2018,2016,Mumbai,E-Commerce
2018-01-17,Simulanis,Seed,500000.0,2018,2016,New Delhi,Wellness/Beauty
2018-01-17,Chai Kings,Seed,20000000.0,2018,2016,Chennai,Consumables
2018-01-18,PlanetSpark,Seed,16000000.0,2018,2016,Gurgaon,Education
2018-01-18,MissMalini Entertainment,Seed,104000000.0,2018,2016,Mumbai,Media/Entertainment
2018-01-20,CashRich,Seed,1000000.0,2018,2016,Mumbai,FinTech
2018-01-21,Iba Halal Care,Series A,150000000.0,2018,2016,Ahmedabad,Wellness/Beauty
