Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector
2020-01-01,Universal Sportsbiz Pvt Ltd,2012,Bangalore,Anjana Reddy,"Accel, Alteria Capital",3000000.0,Series A,2020,Lifestyle
2020-01-01,Gig India,2017,Pune,"Aditya Shirole, Sahil Sharma","Shantanu Deshpande, Subramaniam Ramadorai",1000000.0,Pre-series A,2020,Other
2020-01-02,Stones2milestones,2008,Gurugram,"Kavish Gadia, Nikhil Saraf","Menterra Venture Advisors, Emandi Sankara Rao",2000000.0,Bridge,2020,Education
2020-01-02,Walrus,2019,Bangalore,"Bhagaban Behera, Sriharsha Shetty, Nakul Kelkar",Better Capital,3000000.0,Pre-Seed,2020,FinTech
2020-01-03,GabbarDeals,2016,Pune,"Niraj Raka, Poonam Gugale, Piyush Raka",Venture Catalysts,3000000.0,Series A,2020,E-Commerce
2020-01-03,Clientjoy,2013,Gujarat,"Abhishek Doshi, Anupama Panchal, Shashwat Bhatt, Yash Shah","LetsVenture, Jyotsna Bapat",800000.0,Pre-series A,2020,Technology
2020-01-03,BharatPe,2018,Delhi,Ashneer Grover,Ribbit Capital,75000000.0,Series C,2020,FinTech
2020-01-03,ChitMonks,2016,Hyderabad,Pavan Adipuram,Unicorn India Ventures,650000.0,Pre-series A,2020,FinTech
2020-01-03,Virtual Forest,2019,Bangalore,Omer Basith,Napino Auto and Electronics Ltd,3000000.0,Series A,2020,Technology
2020-01-04,Dunzo,2014,Bangalore,"Kabeer Biswas, Ankur Agarwal, Dalvir Suri, Mukund Jha","Wes Schwalje, Alteria Capital",28000000.0,Series E,2020,Technology
2020-01-04,Smallcase,2015,Bangalore,"Anugrah Shrivastava, Rohan Gupta, Vasanth Kamath","Sequoia Capital India, Blume Ventures",13400000.0,Series B,2020,FinTech
2020-01-04,HomeLane,2014,Chennai,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",1000000.0,Series D,2020,Real Estate
2020-01-05,Waycool,2015,Chennai,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,32000000.0,Series C,2020,Technology
2020-01-06,MYSUN,2015,Delhi,"Gagan Vermani, Divyanshu Sachdev, Gyan Prakash Tiwari",Undisclosed,4257000.0,Pre-series A,2020,Technology
2020-01-06,Fleetx,2016,Bangalore,"Vineet Sharma, Abhay Jeet Gupta, Udbhav Rai, Parveen Kataria, Vishal Misra",Beenext,1402400.0,Series A,2020,Technology
2020-01-06,Spaciya Consultants,2016,Noida,Ajit Panda,Alok Garg,500000.0,Pre-series A,2020,Real Estate
2020-01-07,Digit Insurance,2016,Bangalore,Kamesh Goyal,"Virat Kohli, Anushka Sharma",340000.0,Series A,2020,FinTech
2020-01-07,Livspace,2014,Bangalore,"Anuj Srivastava, Ramakant Sharma","Mercer Investments, Nicholas Cator",9000000.0,Series D,2020,Real Estate
2020-01-07,Voosh,2020,Bangalore,Priyam Saraswat,Better Capital,3000000.0,Pre-seed,2020,Consumables
2020-01-08,Innerchef,2016,Gurgaon,Rajesh,Mistletoe,1000000.0,Series A,2020,Consumables
2020-01-08,Winzo,2018,New Delhi,"Paavan Nanda, Saumya Singh Rathore","Makers Fund, Courtside Ventures",2000000.0,Series A,2020,Gaming
2020-01-08,MaxWholesale,2016,Delhi,Samarth Agrawal,"IAN Fund-I,  Al Falaj Investment Company (AFI)",3000000.0,Series A,2020,E-Commerce
2020-01-08,Rivigo,2014,Gurugram,"Deepak Garg, Gazal Kalra",Trifecta Capital,3400000.0,Series F,2020,Logistics
2020-01-09,ReNEWate,2018,Pune,Supratik Ghatak,Real Estate Accelerator Program,3000000.0,Pre-seed,2020,Real Estate
2020-01-09,Moms Co,2016,Gurgaon,"Malika Datt Sadani, Mohit Sadaani","DSG Consumer Partners, Saama Capital",8000000.0,Series B,2020,Automotive
2020-01-09,LightSpeedAI,2019,Bangalore,"Rohin Y, PV Ramana","YourNest, growX ventures",3000000.0,Series A,2020,Technology
2020-01-09,MyKaam,2016,Bangalore,Ashish Gupta,"Dr Apoorva Ranjan Sharma, Mrunal Jhaveri, Nirav Panchmatia, Vikas Kapoor, Karan Garg",3000000.0,Series A,2020,Technology
2020-01-10,Quintype Technologies,2014,Bangalore,Amit Rathore,"IIFL Asset Management, Raghav Bahl",325000.0,Series A,2020,Technology
2020-01-10,Zolostays,2015,Bangalore,"Akhil Sikri, Nikhil Sikri, Sneha Choudhry","Investcorp, Nexus Venture Partners, Mirae Assets, Trifecta Capital",56000000.0,Series C,2020,Real Estate
2020-01-10,QShala,2014,Bangalore,"Sachin Ravi, Raghav Chakravarthy",Venture Catalysts,300000.0,Series A,2020,Education
2020-01-10,Gamerji,2019,Bangalore,"Soham Thacker, Varun Gajjar",La Gajjar Group,400000.0,Series A,2020,Gaming
2020-01-11,Livve,2015,Cochin,Maya Lakshman,Venture Catalysts,1500000.0,Seed,2020,Logistics
2020-01-11,Fisdom,2015,Bangalore,"Anand Dalmia, Ramganesh Iyer, Subramanya S.V., Subramanya Venkat","PayU Finance India, Quona Capital",7000000.0,Series A,2020,FinTech
2020-01-11,Servify,2015,Mumbai,Sreevathsa Prabhakar,"Blume Ventures, Tetrao",11370000.0,Series C,2020,Manufacture
