Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-01-01,Wide Mobility Mechatronics,Seed,5800000.0,2018,2016,Bangalore,Automotive
2018-01-01,Loanzen,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-01-02,Aarav Unmanned Systems,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-01-02,Dream11,Series D,100000000.0,2018,2016,Mumbai,Gaming
2018-01-03,Awign Enterprises,Seed,50000000.0,2018,2016,Bangalore,Marketing
2018-01-03,Hospals,Seed,1500000.0,2018,2016,New Delhi,Logistics
2018-01-05,OPEN,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-01-06,Happyeasygo Group,Series A,5800000.0,2018,2016,Haryana,Logistics
2018-01-07,BabyChakra,Series B,5800000.0,2018,2016,Mumbai,Automotive
2018-01-07,Avishkaar Box,Seed,50000000.0,2018,2016,Delhi,Education
2018-01-07,Ideal Insurance Brokers/ 121Policy.com,Seed,1000000.0,2018,2016,Kolkata,Finance
2018-01-09,Goals101,Seed,3500000.0,2018,2016,Delhi,Finance
2018-01-10,Tranzmeo,Pre-Seed,5800000.0,2018,2016,Cochin,Automotive
2018-01-11,BizCrum Infotech Pvt. Ltd.,Seed,5800000.0,2018,2016,Delhi,Consumer Services
2018-01-11,GalaxyCard,Seed,5800000.0,2018,2016,Noida,FinTech
2018-01-11,Yumlane,Series A,4000000.0,2018,2016,Mumbai,Consumables
2018-01-11,Vedantu,Series B,11000000.0,2018,2016,Bangalore,Education
2018-01-12,AuthMetrik,Grant,10000.0,2018,2016,Gurgaon,E-Commerce
2018-01-13,Aldopay,Seed,200000.0,2018,2016,Chennai,Finance
2018-01-16,Kogta Financial India Limited,Series B,1540000000.0,2018,2016,Jaipur,Finance
2018-01-16,Trendlyne Technologies,Seed,200000.0,2018,2016,Bangalore,Finance
2018-01-16,AgNext Technologies,Series A,5800000.0,2018,2016,Mohali,Agriculture
2018-01-17,MissMalini Entertainment,Seed,104000000.0,2018,2016,Mumbai,Media/Entertainment
2018-01-18,FarmTaaza,Series A,5800000.0,2018,2016,Bengaluru,Agriculture
2018-01-18,Furlenco,Series C,5800000.0,2018,2016,Bangalore,Consumer Services
2018-01-18,SEDEMAC Mechatronics,Venture - Series Unknown,5800000.0,2018,2016,Mumbai,Energy
2018-01-19,Healthkart,Venture - Series Unknown,10000000.0,2018,2016,Gurgaon,Automotive
2018-01-20,Indiabulls Ventures,Seed,-2147483648.0,2018,2016,Mumbai,Finance
2018-01-22,Shirsa Labs,Seed,500000.0,2018,2016,Mumbai,Gaming
2018-01-22,Corefactors,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-01-22,Chezuba,Angel,1400000.0,2018,2016,Hyderabad,Technology
2018-01-23,Creditas Solutions,Seed,5800000.0,2018,2016,Gurgaon,Finance
2018-01-23,APAC Financial Services,Seed,-2147483648.0,2018,2016,Mumbai,Finance
2018-01-23,Adiuvo Diagnostics,Seed,5800000.0,2018,2016,Chennai,Healthcare
2018-01-23,dishq,Seed,400000.0,2018,2016,Bengaluru,Technology
2018-01-24,Netmeds,Series C,35000000.0,2018,2016,Chennai,Automotive
2018-01-25,artbandhu,Pre-Seed,15000.0,2018,2016,Bangalore,Media/Entertainment
2018-01-26,Sensibull,Seed,25000000.0,2018,2016,Bangalore,E-Commerce
